,Authors,Title,Year,DOI,Abstract,Author Keywords,Index Keywords,ML_ET_Related,ET_Prediction,Measurement Methods,Features Used,"('Methods', 'eddy covariance')","('Methods', 'weather station')","('Methods', 'remote sensing')","('Methods', 'load cells')","('Methods', 'sap flow')","('Methods', 'field measurement')","('Methods', 'phenotyping')","('Methods', 'soil water balance')","('Methods', 'empirical models')","('Methods', 'stomatal conductance')","('Methods', 'psychrometry')","('Features', 'climate & meteorology')","('Features', 'vegetation indices')","('Features', 'soil')","('Features', 'plant physiology')"
891,Wei Q.; Xu J.-G.; Bai Y.-C.; Li X.-T.; He M.; Xu J.-Z.,Research on ET0 Prediction Based on Machine Learning Algorithm; [基于机器学习算法的 ET0预测研究],2022,10.12396/jsgg.2022080,"In order to explore the performance of different machine learning algorithms in predicting the reference crop evapotranspiration (ET0) in different climate zones, in this study, based on the daily meteorological data of 20 meteorological stations in arid and humid regions of China from 1960 to 2019, taking the ET0 calculated by PM and HS formula as the reference, the accuracy and applicability of three machine learning algorithms, including multiple stepwise regression (SL), support vector machine (SVM) and Gaussian process regression (GPR), were evaluated. The results show that: ① When the ET0values calculated by PM and HS formula are taken as the standard, the relationship between the accuracy of ET0 simulation by the three machine learning algorithms is: GPR > SVM > SL. The GPR algorithm has the highest simulation accuracy, and its correlation coefficient (R2) ranges from 0.950 to 0.995. ② When the same machine learning algorithm is adopted, the R2 range of ET0 calculated by PM is 0.965~0.995, the RMSE range is 0.212~0.260 and the MAE range is 0.151~0.201. When HS formula is used as the reference value, the R2 range is 0.935~0.984, the RMSE range is 0.832~0.964, and the MAE range is 0.596~0.745. ③ In different climatic zones, the accuracy of ET0 simulated by machine learning algorithm in arid zone is better than that in humid zone, and its R2 is increased by 0.01, when taking the calculation results of the same reference formula as the standard. ④ Comparing the robustness of different machine learning algorithms, SL and SVM algorithms have the highest robustness when taking the calculation results of PM and HS formula as the reference value respectively, and the variation range of R2 from training to simulation stage is only 0.16% and 0.11%, while GPR algorithm has the lowest robustness. ⑤ Compared with the training time cost of different machine learning algorithms, the computational cost of SVM and GPR algorithm is significantly higher than that of SL algorithm. Based on the comprehensive analysis of ET0 prediction accuracy, robustness and calculation cost of the three algorithms, SVM algorithm can be recommended as a more accurate method for predicting reference crop evapotranspiration in arid and humid areas of China. Moreover, the quatitative relationship between the accuracy of machine learning simulation and meteorological factors shows that the change of sunshine hours (N) is the main factor affecting the prediction accuracy of each algorithm. © 2022 Editorial Office Of Water Saving Irrigation. All rights reserved.",different climatic zones; ET<sub>0</sub> prediction accuracy; machine learning algorithm; reference crop evapotranspiration; robustness of the algorithm; training time cost,,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
896,Dökmen F.; Ahi̇ Y.; Köksal D.D.,Crop water use estimation of drip irrigated walnut using ANN and ANFIS models,2023,10.20937/ATM.53149,"Walnut trees, as well as their fruits, represent an important sector of the agricultural industry and their cultivation significantly contributes to the global economy. Irrigation is a key factor in walnut cultivation and its most important problem is related to accurately estimating the need for irrigation water. Walnut water use was estimated in this study through artificial intelligence methods, namely artificial neural networks (ANN) and the adaptive neuro-fuzzy inference system (ANFIS) using meteorological data in western Turkey, which has semi-arid climatic conditions. Probabilistic scenarios based on maximum, minimum and average temperature, wind speed and sunshine hours over the period 2016-2019 were developed and tested with ANN and ANFIS to estimate walnut evapotranspiration. Results indicate that the optimum performance in the training and testing for ANN and ANFIS was obtained from the fourth scenario with R = 0.95 and two climate parameters: sunshine duration and mean temperature. Both ANN and ANFIS were able to predict crop water use obtaining a high correlation and the minimum number of climatic parameters. Nevertheless, the ANFIS model had a higher predictive capacity, with smaller MSE (0.36 for training and 0.29 for testing) compared to the ANN model © 2023 Universidad Nacional Autónoma de México, Instituto de Ciencias de la Atmósfera y Cambio Climático. This is an open access article under the CC BY-NC License (http://creativecommons.org/licenses/by-nc/4.0/)",artificial intelligence; data analysis; evapotranspiration; irrigation; semi-arid climate,Turkey; analytical hierarchy process; artificial intelligence; artificial neural network; cultivation; drip irrigation; evapotranspiration; fruit; semiarid region; water use,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
899,Qian L.; Wu L.; Liu X.; Cui Y.; Wang Y.,Comparison of CLDAS and Machine Learning Models for Reference Evapotranspiration Estimation under Limited Meteorological Data,2022,10.3390/su142114577,"The accurate calculation of reference evapotranspiration (ET0) is the fundamental basis for the sustainable use of water resources and drought assessment. In this study, we evaluate the performance of the second-generation China Meteorological Administration Land Data Assimilation System (CLDAS) and two simplified machine learning models to estimate ET0 when meteorological data are insufficient in China. The results show that, when a weather station lacks global solar radiation (Rs) data, the machine learning methods obtain better results in their estimation of ET0. However, when the meteorological station lacks relative humidity (RH) and 2 m wind speed (U2) data, using RHCLD and U2CLD from the CLDAS to estimate ET0 and to replace the meteorological station data obtains better results. When all the data from the meteorological station are missing, estimating ET0 using the CLDAS data still produces relevant results. In addition, the PM–CLDAS method (a calculation method based on the Penman–Monteith formula and using the CLDAS data) exhibits a relatively stable performance under different combinations of meteorological inputs, except in the southern humid tropical zone and the Qinghai–Tibet Plateau zone. © 2022 by the authors.",CLDAS; limited meteorological data; machine learning; reanalysis dataset; reference evapotranspiration,China; Qinghai-Xizang Plateau; comparative study; data set; estimation method; evapotranspiration; machine learning; meteorology; Penman-Monteith equation,Yes,Yes,"weather station, empirical models",climate & meteorology,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
904,Shao G.; Han W.; Zhang H.; Wang Y.; Zhang L.; Niu Y.; Zhang Y.; Cao P.,Estimation of transpiration coefficient and aboveground biomass in maize using time-series UAV multispectral imagery,2022,10.1016/j.cj.2022.08.001,"Estimating spatial variation in crop transpiration coefficients (CTc) and aboveground biomass (AGB) rapidly and accurately by remote sensing can facilitate precision irrigation management in semiarid regions. This study developed and assessed a novel machine learning (ML) method for estimating CTc and AGB using time-series unmanned aerial vehicle (UAV)-based multispectral vegetation indices (VIs) of maize under several irrigation treatments at the field scale. Four ML regression methods: multiple linear regression (MLR), support vector regression (SVR), random forest regression (RFR), and adaptive boosting regression (ABR), were used to address the complex relationship between CTc and VIs. AGB was then estimated using exponential, logistic, sigmoid, and linear equations because of their clear mathematical formulations based on the optimal CTc estimation model. The UAV VIs-derived CTc using the RFR estimation model yielded the highest accuracy (R2 = 0.91, RMSE = 0.0526, and nRMSE = 9.07%). The normalized difference red-edge index, transformed chlorophyll absorption in reflectance index, and simple ratio contributed significantly to the RFR-based CTc model. The accuracy of AGB estimation using nonlinear methods was higher than that using the linear method. The exponential method yielded the highest accuracy (R2 = 0.76, RMSE = 282.8 g m−2, and nRMSE = 39.24%) in both the 2018 and 2019 growing seasons. The study confirms that AGB estimation models based on cumulative CTc performed well under several irrigation treatments using high-resolution time-series UAV multispectral VIs and can support irrigation management with high spatial precision at a field scale. © 2022 Crop Science Society of China and Institute of Crop Science, CAAS",Biomass; Crop transpiration; Normalized difference red-edge index; Random forest regression; Unmanned aerial vehicles,,Yes,Yes,remote sensing,vegetation indices,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
905,Zhang H.; Meng F.; Xu J.; Liu Z.; Meng J.,"Evaluation of Machine Learning Models for Daily Reference Evapotranspiration Modeling Using Limited Meteorological Data in Eastern Inner Mongolia, North China",2022,10.3390/w14182890,"Background: Water shortages limit agricultural production in arid and semiarid regions around the world. The accurate estimation of reference evapotranspiration (ET0) is of the utmost importance for computing crop water requirements, agricultural water management, and irrigation scheduling design. However, due to the combination of insufficient meteorological data and uncertain inputs, the accuracy and stability of the ET0 prediction model were different to varying degrees. Methods: Six machine learning models were proposed in the current study for daily ET0 estimation. Information on the weather, such as the maximum and minimum air temperatures, solar radiation, relative humidity, and wind speed, during the period 1960~2019 was obtained from eighteen stations in the northeast of Inner Mongolia, China. Three input combinations were utilized to train and test the proposed models and compared with the corresponding empirical equations, including two temperature-based, three radiation-based, and two humidity-based empirical equations. To evaluate the ET0 estimation models, two strategies were used: (1) in each weather station, we trained and tested the proposed machine learning model, and then compared it with the empirical equations, and (2) using the K-means algorithm, all weather stations were sorted into three groups based on their average climatic features. Then, each station tested the machine learning model trained using the other stations within the group. Three statistical indicators, namely, determination coefficient (R2), root mean square error (RMSE), and mean absolute error (MAE), were used to evaluate the performance of the models. Results: The results showed the following: (1) The temperature-based temporal convolutional neural network (TCN) model outperformed the empirical equations in the first strategy, as shown by the TCN’s R2 values being 0.091, 0.050, and 0.061 higher than those of empirical equations; the RMSE of the TCN being significantly lower than that of empirical equations by 0.224, 0.135, and 0.159 mm/d; and the MAE of the TCN being significantly lower than that of empirical equations by 0.208, 0.151, and 0.097 mm/d, and compared with the temperature-based empirical equations, the TCN model markedly reduced RMSE and MAE while increasing R2 in the second strategy. (2) In comparison to the radiation-based empirical equations, all machine learning models reduced RMSE and MAE, while significantly increasing R2 in both strategies, particularly the TCN model. (3) In addition, in both strategies, all machine learning models, particularly the TCN model, enhanced R2 and reduced RMSE and MAE significantly when compared to humidity-based empirical equations. Conclusions: When the radiation or humidity characteristics were added to the given temperature characteristics, all the proposed machine learning models could estimate ET0, and its accuracy was higher than the calibrated empirical equations external to the training study area, which makes it possible to develop an ET0 estimation model for cross-station data with similar meteorological characteristics to obtain a satisfactory ET0 estimation for the target station. © 2022 by the authors.",modeling; reference evapotranspiration; temporal convolution neural network,Nei Monggol; Agriculture; Atmospheric temperature; Convolution; Evapotranspiration; K-means clustering; Learning algorithms; Learning systems; Machine learning; Meteorology; Multilayer neural networks; Neural network models; Scheduling; Water management; Water supply; Weather information services; Wind; Convolution neural network; Convolutional neural network; Empirical equations; Machine learning models; Mean absolute error; Modeling; Neural network model; Reference evapotranspiration; Root mean square errors; Temporal convolution neural network; artificial neural network; data set; evapotranspiration; machine learning; modeling; Mean square error,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
914,Elbeltagi A.; Raza A.; Hu Y.; Al-Ansari N.; Kushwaha N.L.; Srivastava A.; Kumar Vishwakarma D.; Zubair M.,Data intelligence and hybrid metaheuristic algorithms-based estimation of reference evapotranspiration,2022,10.1007/s13201-022-01667-7,"For developing countries, scarcity of climatic data is the biggest challenge, and model development with limited meteorological input is of critical importance. In this study, five data intelligent and hybrid metaheuristic machine learning algorithms, namely additive regression (AR), AR-bagging, AR-random subspace (AR-RSS), AR-M5P, and AR-REPTree, were applied to predict monthly mean daily reference evapotranspiration (ET0). For this purpose, climatic data of two meteorological stations located in the semi-arid region of Pakistan were used from the period 1987 to 2016. The climatic dataset includes maximum and minimum temperature (Tmax, Tmin), average relative humidity (RHavg), average wind speed (Ux), and sunshine hours (n). Sensitivity analysis through regression methods was applied to determine effective input climatic parameters for ET0 modeling. The results of performed regression analysis on all input parameters proved that Tmin, RHAvg, Ux, and n were identified as the most influential input parameters at the studied station. From the results, it was revealed that all the selected models predicted ET0 at both stations with greater precision. The AR-REPTree model was located furthest and the AR-M5P model was located nearest to the observed point based on the performing indices at both the selected meteorological stations. The study concluded that under the aforementioned methodological framework, the AR-M5P model can yield higher accuracy in predicting ET0 values, as compared to other selected algorithms. © 2022, The Author(s).",Additive regression; Hydrological modeling; Machine learning; Reference evapotranspiration; Sensitivity and regression analysis,Pakistan; Additives; Developing countries; Evapotranspiration; Learning algorithms; Machine learning; Meteorology; Regression analysis; Wind; Additive regression; Climatic data; Data intelligence; Hybrid metaheuristic algorithms; Hydrological models; Input parameter; Meteorological input; Meteorological station; Model development; Reference evapotranspiration; accuracy assessment; algorithm; developing world; estimation method; evapotranspiration; heuristics; hydrological modeling; machine learning; precision; regression analysis; relative humidity; resource scarcity; semiarid region; sensitivity analysis; water management; wind velocity; Sensitivity analysis,Yes,Yes,weather station,climate & meteorology,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
917,Kim S.-J.; Bae S.-J.; Jang M.-W.,Linear Regression Machine Learning Algorithms for Estimating Reference Evapotranspiration Using Limited Climate Data,2022,10.3390/su141811674,"A linear regression machine learning model to estimate the reference evapotranspiration based on temperature data for South Korea is developed in this study. FAO56 Penman–Monteith (FAO56 P–M) reference evapotranspiration calculated with meteorological data (1981–2021) obtained from sixty-two meteorological stations nationwide is used as the label. All study datasets provide daily, monthly, or annual values based on the average temperature, daily temperature difference, and extraterrestrial radiation. Multiple linear regression (MLR) and polynomial regression (PR) are applied as machine learning algorithms, and twelve models are tested using the training data. The results of the performance evaluation of the period from 2017 to 2021 show that the polynomial regression algorithm that learns the amount of extraterrestrial radiation achieves the best performance (the minimum root-mean-square errors of 0.72 mm/day, 11.3 mm/month, and 40.5 mm/year for daily, monthly, and annual scale, respectively). Compared to temperature-based empirical equations, such as Hargreaves, Blaney–Criddle, and Thornthwaite, the model trained using the polynomial regression algorithm achieves the highest coefficient of determination and lowest error with the reference evapotranspiration of the FAO56 Penman–Monteith equation when using all meteorological data. Thus, the proposed method is more effective than the empirical equations under the condition of insufficient meteorological data when estimating reference evapotranspiration. © 2022 by the authors.",linear regression; machine learning; Penman–Monteith; polynomial regression; reference evapotranspiration,South Korea; evapotranspiration; learning; machine learning; Penman-Monteith equation; regression analysis,Yes,Yes,"weather station, empirical models",climate & meteorology,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
919,Ji Z.; Pan Y.; Zhu X.; Zhang D.; Dai J.,Prediction of Corn Yield in the USA Corn Belt Using Satellite Data and Machine Learning: From an Evapotranspiration Perspective,2022,10.3390/agriculture12081263,"The reliable prediction of corn yield for the United States of America is essential for effective food and energy management of the world. Three satellite-derived variables were selected, namely enhanced vegetation index (EVI), leaf area index (LAI) and land surface temperature (LST). The least absolute shrinkage and selection operator (LASSO) was used for regression, while random forest (RF), support vector regression (SVR) and long short-term memory (LSTM) methods were selected for machine learning. The three variables serve as inputs to these methods, and their efficacy in predicting corn yield was assessed in relation to evapotranspiration (ET). The results confirmed that a high level of performance can be achieved for yield prediction (mean predicted R2 = 0.63) by combining EVI + LAI + LST with the four methods. Among them, the best results were obtained by using LSTM (mean predicted R2 = 0.67). EVI and LST provided extra and unique information in peak and early growth stages for corn yield, respectively, and the usefulness of including LAI was not readily apparent across the whole season, which was consistent with the field growing conditions affecting the ET of corn. The satellite-derived data and the methods used in this study could be used for predicting the yields of other crops in different regions. © 2022 by the authors.",EVI; LAI; LST; LSTM; MODIS,,Yes,Yes,remote sensing,"climate & meteorology, vegetation indices",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
924,Li H.; Zhang J.; Zhang S.; Bai Y.,Machine learning and remote sensing-based modeling of the optimal stomatal behavior of crops,2022,10.1016/j.compag.2022.107261,"The slope (g1) of stomatal conductance to photosynthesis is an important parameter in the optimal stomatal behavior theory-based stomatal conductance model of Medlyn et al. (2011). Although studies have modelled the spatial variations in g1, disclosing its variations over environmental gradients and different plant functional types. However, the above methods are still not accurate enough on a global scale, as they do not consider the temporal variations in g1. To address this issue we used the Ensemble Kalman Filter (EnKF) to assimilate tower-based gross primary productivity (GPP) and latent heat flux (LE) of 17 cropland flux sites into a remote sensing (RS)-based evapotranspiration-photosynthesis coupled model, termed SCOPES-Crop, to derive the temporal variations in g1 for C3 and C4 crops. We also used the feedforward artificial neural network (FANN) along with RS variables to model g1. Results showed g1 to rise rapidly in spring and summer, and then decline in autumn. The value of g1 reached the lowest value and remained stable in wintertime. FANN-based modeling of g1 showed R(RMSE) = 0.81 (1.94 kPa0.5) and 0.90 (0.70 kPa0.5) for C3 and C4 Crops, respectively, for the testing dataset. The estimates of GPP and LE using FANN-derived g1 at the 17 flux sites were improved as compared to that using fixed g1. The mean values of site-level R(RMSE) for GPP and LE simulated using FANN-derived g1 are 0.92 (1.8 gC m−2 d-2) and 0.85 (22.5 W m−2), respectively. Our results revealed notable seasonal variations in g1, indicating the importance of considering the temporal variations in g1 in evapotranspiration-photosynthesis coupled model. The FANN along with RS variables showed great potential of representing the g1 variations. © 2022 Elsevier B.V.",Data assimilation; Evapotranspiration; Feedforward artificial neural network; Gross primary productivity; Remote sensing; Stomatal conductance,Crops; Evapotranspiration; Feedforward neural networks; Heat flux; Machine learning; Photosynthesis; Phytoplankton; Statistical tests; Based modelling; Coupled models; Data assimilation; Feed-forward artificial neural networks; Gross primary productivity; Machine-learning; Remote-sensing; Stomatal behavior; Stomatal conductance; Temporal variation; stomata; Remote sensing,Yes,Yes,remote sensing,"climate & meteorology, vegetation indices, plant physiology",0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
925,Loritz R.; Bassiouni M.; Hildebrandt A.; Hassler S.K.; Zehe E.,Leveraging sap flow data in a catchment-scale hybrid model to improve soil moisture and transpiration estimates,2022,10.5194/hess-26-4757-2022,"Sap flow encodes information about how plants regulate the opening and closing of stomata in response to varying soil water supply and atmospheric water demand. This study leverages this valuable information with model-data integration and deep learning to estimate canopy conductance in a hybrid catchment-scale model for more accurate hydrological simulations. Using data from three consecutive growing seasons, we first highlight that integrating canopy conductance inferred from sap flow data in a hydrological model leads to more realistic soil moisture estimates than using the conventional Jarvis-Stewart equation, particularly during drought conditions. The applicability of this first approach is, however, limited to the period where sap flow data are available. To overcome this limitation, we subsequently train a recurrent neural network (RNN) to predict catchment-averaged sap velocities based on standard hourly meteorological data. These simulated velocities are then used to estimate canopy conductance, allowing simulations for periods without sap flow data. We show that the hybrid model, which uses the canopy conductance from the machine learning (ML) approach, matches soil moisture and transpiration equally as well as model runs using observed sap flow data and has good potential for extrapolation beyond the study site. We conclude that such hybrid approaches open promising avenues for parametrizations of complex water-plant dynamics by improving our ability to incorporate novel or untypical data sets into hydrological models.  © Author(s) 2022.",,Catchments; Data integration; Learning systems; Plant shutdowns; Plants (botany); Recurrent neural networks; Runoff; Transpiration; Water supply; Atmospheric water; Canopy conductance; Catchment scale; Flow data; Hybrid model; Hydrological models; Sap flow; Soil water; Supply waters; Water demand; artificial neural network; canopy architecture; growing season; hydrological modeling; parameterization; sap flow; simulation; soil moisture; Soil moisture,Yes,Yes,"weather station, sap flow","soil, plant physiology",0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
931,Lou Z.; Quan L.; Sun D.; Li H.; Xia F.,Hyperspectral remote sensing to assess weed competitiveness in maize farmland ecosystems,2022,10.1016/j.scitotenv.2022.157071,"Weed competition causes serious economic losses to maize production. Timely and accurate assessment of pressure from competition is crucial for ecological weed management. In this work, we apply hyperspectral remote sensing (HRS) technology to conduct a competitive experiment in Harbin, China, in 2021, with 5-leaf maize as the study target. A weed competition assessment method that combines comprehensive competition indices (CCI) and deep learning is proposed. For the comprehensive competition assessment, the relationship between different weed competitive pressures (Levels 1–5) and changes in the structural and physiological information of maize was analyzed. The accumulative/transient competition indices CCI-A and CCI-T were designed for accurate quantification. The results showed that parameters such as plant height, stalk thickness and nutrient elements of maize decreased with increasing competition level. Parameters, such as stomatal conductance and transpiration rate, showed a fluctuating change of increasing and then decreasing with increasing competition level. Compared with the traditional relative competitive intensity (RCI), the standard deviation of CCI is 0.303 and 0.499. The dispersion effect of CCI is better and more suitable for quantifying the competition response. HRS images combined with 3D-CNN model were then applied to reveal the spectral response to different weed competition pressures (Levels 1–5) and to make early predictions of weed competition. The first-order derivative showed that the spectral reflectance exhibited significant differences at 520–525 nm peak, 570–655 nm trough, and near 700 nm red edge. For hyperspectral spatial-spectral features, the 3D-CNN model is proposed for prediction of competing indices CCI. In addition, the VIP method is used to select the characteristic wavelengths. The 3D-CNN model achieves a prediction accuracy of RMSE = 0.106 and 0.152 using 13 feature bands, which can accurately quantify the subtle changes in competition indices. Overall, this study shows that the combination of CCI and deep learning can provide a multivariate and comprehensive assessment of weed competition pressure. © 2022",Competition indices; Deep learning; Hyperspectral remote sensing; Weed competition,Ecosystem; Farms; Hyperspectral Imaging; Plant Leaves; Zea mays; China; Harbin; Heilongjiang; 3D modeling; Ecology; Forecasting; Losses; Remote sensing; CNN models; Competition index; Competition levels; Deep learning; Economic loss; Farmland ecosystem; Hyperspectral remote sensing; Level-1; Pressure level; Weed competition; artificial neural network; competition (ecology); machine learning; maize; prediction; remote sensing; spectral reflectance; three-dimensional modeling; weed; agricultural land; article; China; competition; deep learning; ecosystem; maize; nonhuman; nutrient; plant height; plant leaf; prediction; quantitative analysis; remote sensing; stomatal conductance; sweating; thickness; agricultural land; chemistry; Deep learning,Yes,Yes,remote sensing,"vegetation indices, plant physiology",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
932,Zhang C.; Brodylo D.; Rahman M.; Rahman M.A.; Douglas T.A.; Comas X.,Using an object-based machine learning ensemble approach to upscale evapotranspiration measured from eddy covariance towers in a subtropical wetland,2022,10.1016/j.scitotenv.2022.154969,"Accurate prediction of evapotranspiration (ET) in wetlands is critical for understanding the coupling effects of water, carbon, and energy cycles in terrestrial ecosystems. Multiple years of eddy covariance (EC) tower ET measurements at five representative wetland ecosystems in the subtropical Big Cypress National Preserve (BCNP), Florida (USA) provide a unique opportunity to assess the performance of the Moderate Resolution Imaging Spectroradiometer (MODIS) ET operational product MOD16A2 and upscale tower measured ET to generate local/regional wetland ET maps. We developed an object-based machine learning ensemble approach to evaluate and map wetland ET by linking tower measured ET with key predictors from MODIS products and meteorological variables. The results showed MOD16A2 had poor performance in characterizing ET patterns and was unsatisfactory for estimating ET over four wetland communities where Nash-Sutcliffe model Efficiency (NSE) was less than 0.5. In contrast, the site-specific machine learning ensemble model had a high predictive power with a NSE larger than 0.75 across all EC sites. We mapped the ET rate for two distinctive seasons and quantified the prediction diversity to identify regions easier or more challenging to estimate from model-based analyses. An integration of MODIS products and other datasets through the machine learning upscaling paradigm is a promising tool for local wetland ET mapping to guide regional water resource management. © 2022 Elsevier B.V.",Everglades; Machine learning ensemble; Wetland ET upscaling; Wetland evapotranspiration estimation,Ecosystem; Machine Learning; Satellite Imagery; Seasons; Wetlands; Everglades; Florida [United States]; United States; Ecosystems; Forestry; Machine learning; Towers; Tropics; Water management; Wetlands; Eddy covariance towers; Ensemble approaches; Everglade; Machine learning ensemble; Moderate-resolution imaging spectroradiometers; Object based; Objects-based; Upscaling; Wetland evapotranspiration estimation; Wetland evapotranspiration upscaling; eddy covariance; ensemble forecasting; evapotranspiration; machine learning; MODIS; resource management; terrestrial ecosystem; water resource; Article; controlled study; Eddy covariance; evapotranspiration; Florida; intermethod comparison; machine learning; meteorological phenomena; prediction; satellite imagery; water management; water supply; wetland; ecosystem; machine learning; season; Evapotranspiration,Yes,Yes,"eddy covariance, weather station, remote sensing","climate & meteorology, vegetation indices",1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
934,Luo J.; Dou X.; Ma M.,"Evaluation of Empirical and Machine Learning Approaches for Estimating Monthly Reference Evapotranspiration with Limited Meteorological Data in the Jialing River Basin, China",2022,10.3390/ijerph192013127,"The accurate estimation of reference evapotranspiration (ET0) is crucial for water resource management and crop water requirements. This study aims to develop an efficient and accurate model to estimate the monthly ET0 in the Jialing River Basin, China. For this purpose, a relevance vector machine, complex extreme learning machine (C-ELM), extremely randomized trees, and four empirical equations were developed. Monthly climatic data including mean air temperature, solar radiation, relative humidity, and wind speed from 1964 to 2014 were used as inputs for modeling. A total comparison was made between all constructed models using four statistical indicators, i.e., the coefficient of determination (R2), Nash efficiency coefficient (NSE), root mean square error (RMSE) and mean absolute error (MAE). The outcome of this study revealed that the Hargreaves equation (R2 = 0.982, NSE = 0.957, RMSE = 7.047 mm month−1, MAE = 5.946 mm month−1) had better performance than the other empirical equations. All machine learning models generally outperformed the studied empirical equations. The C-ELM model (R2 = 0.995, NSE = 0.995, RMSE = 2.517 mm month−1, MAE = 1.966 mm month−1) had the most accurate estimates among all generated models and can be recommended for monthly ET0 estimation in the Jialing River Basin, China. © 2022 by the authors.",complex extreme learning machine; empirical equations; extremely randomized trees; Jialing River Basin; reference evapotranspiration; relevance vector machine,Machine Learning; Meteorology; Rivers; Water; Wind; China; Jialing Basin; water; comparative study; empirical analysis; error analysis; evapotranspiration; meteorology; support vector machine; air temperature; article; China; controlled study; evapotranspiration; human; machine learning; mean absolute error; randomized controlled trial; relative humidity; relevance vector machine; river basin; root mean squared error; solar radiation; wind speed; meteorology; river; wind,Yes,Yes,empirical models,climate & meteorology,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
936,Karbasi M.; Jamei M.; Ali M.; Malik A.; Yaseen Z.M.,Forecasting weekly reference evapotranspiration using Auto Encoder Decoder Bidirectional LSTM model hybridized with a Boruta-CatBoost input optimizer,2022,10.1016/j.compag.2022.107121,"Reference evapotranspiration (ETo) is one of the most important and influential components in optimizing agricultural water consumption and water resources management. In the present study, an efficient deep learning model, Auto Encode Decoder Bidirectional Long Short-Term Memory (AED-BiLSTM), was applied for the first time in forecasting 1–3 weeks ahead of weekly ETo. Three meteorological stations, including Kermanshah (semi-arid), Nowshahr (very humid), and Yazd (arid), which have different climates, were investigated and evaluated. For this purpose, a statistical period of 20 years (2000 to 2019), of which 15 years (2000–2014) for training and the final five years (2015–2015) for model testing were considered. The generalized regression neural network (GRNN) and extreme gradient boosting (XGBoost) machine learning models were used to compare the performance of the newly developed model. A novel CatBoost-Boruta algorithm was used to determine the critical lags in the forecasting process. The results showed that the newly developed model (AED-BiLSTM) in all three meteorological stations had higher ability and accuracy in forecasting weekly ETo than the GRNN and XGBoost models. The outcomes of testing phase in Kermanshah station ascertained that the AED-BiLSTM in terms of (ETo(t + 1): R (correlation coefficient) = 0.9835, RMSE (root mean square error, mm/week) = 3.4597; ETo(t + 2): R = 0.9805, RMSE = 3.7215; ETo(t + 3): R = 0.9795, RMSE = 3.8857) outperformed the other models. In Nowshahr station AED-BiLSTM model had higher accuracy in terms of (ETo(t + 1): R = 0.9057, RMSE = 4.6786; ETo(t + 2): R = 0.9036, RMSE = 4.7697; ETo(t + 3): R = 0.9024, RMSE = 4.8437). Also, in Yazd station AED-BiLSTM perform better than other models in terms of (ETo(t + 1): R = 0.9827, RMSE = 3.1319; ETo(t + 2): R = 0.9800, RMSE = 3.3998; ETo(t + 3): R = 0.9774, RMSE = 3.5679). The XGBoost and GRNN models performed better after the AED-BiLSTM model, respectively. The effect of climate type on the accuracy of the models showed that the models have higher efficiency and accuracy in arid and semi-arid climates. © 2022 Elsevier B.V.",Auto Decoder Encoder; Bi-LSTM; Boruta-Catboost; FAO-56 Penman-Monteith; Forecasting; Reference evapotranspiration,Iran; Kermanshah; Adaptive boosting; Decoding; Evapotranspiration; Mean square error; Meteorology; Signal encoding; Water supply; Weather forecasting; Auto decoder encoder; Bi-LSTM; Borutum-catboost; FAO-56 penman-monteith; Generalized regression; Meteorological station; Penman Monteith; Reference evapotranspiration; Regression neural networks; Root mean square errors; accuracy assessment; evapotranspiration; forecasting method; machine learning; model; Long short-term memory,Yes,Yes,weather station,"climate & meteorology, vegetation indices",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
